NIP,NAMA,GOL,STATUS,LEMBUR(JAM),GAJI_POKOK,TRANSPORT,HONOR_LEMBUR,PAJAK,GAJI_DIBAYAR
P0001,WIDIASTUTI,3A,PEG.TETAP,5,3500000,525000,0,402500,3622500
P0002,HARSONO,1B,PEG.KONTRAK,10,2000000,500000,0,125000,2375000
P0003,NURUL FIKRI,2B,PEG.TETAP,5,3000000,450000,0,172500,3277500
P0004,HENNY DESTINY,3B,PEG.TETAP,10,4000000,600000,0,460000,4140000
P0005,WENDY,1A,PEG.KONTRAK,10,1500000,375000,0,93750,1781250
P0006,PUPUT,2A,PEG.TETAP,5,2500000,625000,0,156250,2968750
P0007,ESTY DEWI,2B,PEG.KONTRAK,5,3000000,450000,0,172500,3277500
P0008,BUDIONO,3A,PEG.TETAP,10,3500000,525000,0,402500,3622500
P0009,MULYADI,2B,PEG.KONTRAK,5,3000000,450000,0,172500,3277500
P0010,AHMAD,2A,PEG.KONTRAK,10,2500000,625000,0,156250,2968750
